id,locationId,name,status,start_date,capacity,elevation,socket:nacs:output,socket:type1_combo:output,facilityName,ref:plugshare,address.street,addr:city,addr:state,addr:postcode,addr:country,Latitude,Longitude,access,access:conditional,socket:nacs,capacity:disabled,socket:type1_combo,capacity
6143,27267,Tesla Supercharger,OPEN,2023-09-29,12,313,250,,,,440 Ernest West Barrett Parkway,Kennesaw,GA,30144,US,34.012824,-84.564919,yes,,12,,,12
3446,McDonoughGASupercharger,Tesla Supercharger,OPEN,2021-07-09,12,267,250,,South Point Shopping Center,,1380 GA-20 West,McDonough,GA,30253,US,33.425818,-84.18787,yes,,12,,,12
3553,CordeleGASupercharger,Tesla Supercharger,OPEN,2021-08-27,11,103,250,,,,1011 16th Ave E,Cordele,GA,31015,US,31.963626,-83.766165,yes,,11,,,11
6887,27314,Tesla Supercharger,OPEN,2023-10-27,12,314,250,,,,2220 Peachtree Industrial Blvd,Duluth,GA,30097,US,34.020833,-84.119734,yes,,12,,,12
6872,32857,Tesla Supercharger,OPEN,2023-11-17,12,214,250,,,,110 Banks Crossing Dr,Commerce,GA,30529,US,34.24984,-83.459397,yes,,12,,,12
6921,58918,Tesla Supercharger,OPEN,2023-11-09,16,311,250,,,,1150 Scenic Hwy N,Lawrenceville,GA,30045,US,33.903284,-84.002931,yes,,16,,,16
3791,PoolerGAsupercharger,Tesla Supercharger,OPEN,2021-11-05,8,7,250,,,,2111 Pooler Pkwy,Parker,GA,31322,US,32.079619,-81.281224,yes,,8,,,8
3897,WoodstockGASupercharger,Tesla Supercharger,OPEN,2022-01-31,12,302,250,,,,915 Ridgewalk Pkwy,Woodstock,GA,30188,US,34.118729,-84.528502,yes,,12,,,12
4170,DuluthGASupercharger,Tesla Supercharger,OPEN,2022-05-13,23,288,250,,,,3585 Peachtree Industrial Blvd,Duluth,GA,30096,US,34.0004,-84.169,yes,,23,,,23
7164,mariettagaexpansion,Tesla Supercharger,OPEN,2023-11-10,16,285,250,,,,3000 Windy Hill Rd SE,Marietta,GA,30067,US,33.904622,-84.4669,yes,,16,,,16
4470,FortValleyGAQ322,Tesla Supercharger,OPEN,2022-08-31,44,141,325,325,Buc-ee's,,7001 Russell Pkwy,Fort Valley,GA,31030,US,32.58306,-83.740534,yes,,44,,44,44
4471,AlbanyGAQ322,Tesla Supercharger,OPEN,2022-08-12,12,75,250,,,,2825 Ledo Rd,Albany,GA,31707,US,31.62396,-84.215788,yes,,12,,,12
7356,poolergapoolerpkwy,Tesla Supercharger,OPEN,2024-02-05,8,6,250,,,,439 Pooler Pkwy,Pooler,GA,31322,US,32.135881,-81.252544,yes,,8,1,,8
